Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,653.010010,660.330017,642.109985,646.909973,646.909973,2405800
2021-11-11,650.239990,665.820007,649.710022,657.580017,657.580017,2868300
2021-11-12,660.010010,683.340027,653.820007,682.609985,682.609985,4192700
2021-11-15,681.239990,685.260010,671.489990,679.330017,679.330017,2872200
2021-11-16,678.270020,688.359985,676.900024,687.400024,687.400024,2077400
2021-11-17,690.000000,700.989990,686.090027,691.690002,691.690002,2732800
2021-11-18,691.609985,691.739990,679.739990,682.020020,682.020020,2012900
2021-11-19,692.349976,694.159973,675.000000,678.799988,678.799988,2613700
2021-11-22,676.020020,679.479980,656.469971,659.200012,659.200012,2764400
2021-11-23,658.179993,666.429993,646.049988,654.059998,654.059998,2320200
2021-11-24,658.010010,661.440002,651.099976,658.289978,658.289978,1867300
2021-11-26,675.000000,676.409973,660.669983,665.640015,665.640015,2872500
2021-11-29,663.200012,667.989990,658.289978,663.840027,663.840027,2529400
2021-11-30,668.200012,675.380005,640.010010,641.900024,641.900024,5608900
2021-12-01,649.479980,654.520020,617.070007,617.770020,617.770020,3882800
2021-12-02,617.099976,625.359985,612.880005,616.469971,616.469971,3331100
2021-12-03,622.750000,625.500000,594.000000,602.130005,602.130005,4825200
2021-12-06,606.010010,617.289978,601.000000,612.690002,612.690002,3075700
2021-12-07,619.830017,628.890015,611.400024,625.580017,625.580017,3125200
2021-12-08,630.000000,632.460022,623.200012,628.080017,628.080017,2220300
2021-12-09,627.580017,630.239990,610.440002,611.000000,611.000000,2376300
2021-12-10,616.780029,617.739990,605.880005,611.659973,611.659973,2747900
2021-12-13,612.000000,612.640015,599.520020,604.559998,604.559998,2517900
2021-12-14,598.710022,602.289978,588.130005,597.989990,597.989990,2984500
2021-12-15,598.179993,605.690002,584.510010,605.039978,605.039978,2866200
2021-12-16,597.090027,602.830017,588.000000,591.059998,591.059998,3143200
2021-12-17,591.609985,593.250000,581.739990,586.729980,586.729980,4386900
2021-12-20,586.429993,602.880005,584.260010,593.739990,593.739990,3358400
2021-12-21,597.539978,607.820007,593.859985,604.919983,604.919983,2319400
2021-12-22,603.359985,614.820007,602.630005,614.239990,614.239990,2335700
2021-12-23,616.400024,616.880005,607.570007,614.090027,614.090027,1621100
2021-12-27,615.000000,615.000000,609.250000,613.119995,613.119995,2061500
2021-12-28,614.950012,618.409973,609.690002,610.710022,610.710022,1882800
2021-12-29,610.710022,613.979980,604.679993,610.539978,610.539978,1287200
2021-12-30,612.989990,620.609985,611.239990,612.090027,612.090027,1625100
2021-12-31,610.010010,614.080017,602.049988,602.440002,602.440002,1995900
2022-01-03,605.609985,609.989990,590.559998,597.369995,597.369995,3067500
2022-01-04,599.909973,600.409973,581.599976,591.150024,591.150024,4393100
2022-01-05,592.000000,592.840027,566.880005,567.520020,567.520020,4148700
2022-01-06,554.340027,563.359985,542.010010,553.289978,553.289978,5711800
2022-01-07,549.460022,553.429993,538.219971,541.059998,541.059998,3381700
2022-01-10,538.489990,543.690002,526.320007,539.849976,539.849976,4486100
2022-01-11,536.989990,543.909973,530.070007,540.840027,540.840027,3077800
2022-01-12,544.270020,544.270020,532.020020,537.219971,537.219971,3787400
2022-01-13,537.059998,540.789978,518.260010,519.200012,519.200012,4475100
2022-01-14,517.599976,538.369995,511.880005,525.690002,525.690002,7849400
2022-01-18,520.080017,521.750000,508.679993,510.799988,510.799988,4839100
2022-01-19,515.000000,523.210022,510.510010,515.859985,515.859985,4353500
2022-01-20,517.750000,526.640015,506.929993,508.250000,508.250000,12659000
2022-01-21,400.429993,409.149994,379.989990,397.500000,397.500000,58904300
2022-01-24,383.910004,387.260010,351.459991,387.149994,387.149994,32346000
2022-01-25,379.140015,387.709991,365.130005,366.420013,366.420013,15145800
2022-01-26,378.269989,382.660004,356.619995,359.700012,359.700012,12684000
2022-01-27,382.059998,394.799988,378.100006,386.700012,386.700012,24324700
2022-01-28,386.760010,387.000000,372.079987,384.359985,384.359985,11966600
2022-01-31,401.970001,427.700012,398.200012,427.140015,427.140015,20047500
2022-02-01,432.959991,458.480011,425.540009,457.130005,457.130005,22568100
2022-02-02,448.250000,451.980011,426.480011,429.480011,429.480011,14346000
2022-02-03,421.440002,429.260010,404.279999,405.600006,405.600006,9905200
2022-02-04,407.309998,412.769989,396.640015,410.170013,410.170013,7782400
2022-02-07,410.170013,412.350006,393.549988,402.100006,402.100006,8232900
2022-02-08,398.179993,406.609985,395.829987,403.529999,403.529999,6818500
2022-02-09,408.649994,412.980011,398.790009,412.890015,412.890015,7727700
